gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
OPRD1,286.6735734,-1.085939415,0.234635816,-4.628191177,3.69E-06,5.69E-05
MIR31HG,67.15450048,-1.087247679,0.220890767,-4.922105587,8.56E-07,1.67E-05
CA11,3284.1343,-1.087560146,0.175095364,-6.211244673,5.26E-10,3.18E-08
NPY1R,204.1885205,-1.089063156,0.199936632,-5.447041631,5.12E-08,1.51E-06
NEGR1,2806.094288,-1.08918284,0.148357406,-7.341614193,2.11E-13,4.15E-11
CAMKK1,1372.461873,-1.091135028,0.199400011,-5.4720911,4.45E-08,1.35E-06
FOXP2,168.3320331,-1.092114683,0.188400421,-5.796774099,6.76E-09,2.76E-07
WIF1,525.8427627,-1.093247211,0.342868202,-3.188534848,0.001429958,0.0074867
SLC9A2,101.3692256,-1.093822669,0.22313084,-4.902158159,9.48E-07,1.82E-05
CIT,2366.588995,-1.094033061,0.165831799,-6.597245322,4.19E-11,3.83E-09
TP53I11,555.3181087,-1.094316757,0.207298124,-5.278951561,1.30E-07,3.35E-06
SLC26A4-AS1,650.1323695,-1.094383015,0.280786611,-3.897561246,9.72E-05,0.000838427
XKR7,112.9403932,-1.095143537,0.16272849,-6.729881994,1.70E-11,1.80E-09
TSPOAP1,3465.222677,-1.096943008,0.135946292,-8.068943947,7.09E-16,2.98E-13
PRSS3,148.6343587,-1.099583211,0.25327266,-4.341499829,1.42E-05,0.000173227
LOC107984131,215.9548348,-1.099646437,0.316694001,-3.472267968,0.000516081,0.003261235
RIMS2,2719.396756,-1.100559967,0.146660885,-7.504113769,6.18E-14,1.48E-11
ARPP21,1596.551243,-1.102038049,0.163640308,-6.734514633,1.64E-11,1.76E-09
ADGRL2,1037.320481,-1.10292772,0.16143222,-6.83214121,8.37E-12,9.66E-10
POU6F2,84.48480134,-1.103112852,0.201880295,-5.464192796,4.65E-08,1.40E-06
STRIP2,439.9677662,-1.103768702,0.2172005,-5.081796317,3.74E-07,8.21E-06
NXPH2,99.63122197,-1.107083975,0.182300846,-6.072840584,1.26E-09,6.62E-08
LRRC2,207.0374737,-1.109658183,0.226563241,-4.897785627,9.69E-07,1.85E-05
SGCZ,70.29027695,-1.112579955,0.134773564,-8.255179421,1.52E-16,8.33E-14
CA4,166.1199914,-1.116185329,0.15410741,-7.242904979,4.39E-13,7.76E-11
PTPN3,396.4857171,-1.117267117,0.270626829,-4.128441819,3.65E-05,0.000381292
NHSL2,611.984941,-1.123424694,0.209429458,-5.364215255,8.13E-08,2.25E-06
